station_id,total_rentals,avg_hourly_rentals,std_hourly_rentals,avg_weekday_rentals,avg_weekday_morning_rentals,avg_weekday_evening_rentals,avg_weekday_midday_rentals,avg_weekday_night_rentals,avg_weekend_rentals,avg_weekend_morning_rentals,avg_weekend_afternoon_rentals,max_hourly_rentals,peak_hour,weekday_weekend_ratio,morning_evening_ratio,cluster_label
31302,25662,1.7535875358753588,1.1386321014949419,1.68701171875,1.7274226804123711,1.9105873550317996,1.6526806526806528,1.3491228070175438,1.9087391898042785,1.6601382488479262,2.2337662337662336,11,17,0.8833728331892771,0.9019490382793803,3
31303,18851,1.6092709578282398,1.002968069199619,1.622813156053184,1.4184782608695652,1.800160836349015,1.70720863766275,1.3354134165366616,1.5722929936305732,1.2765957446808511,1.7366863905325445,13,15,1.03147548652609,0.7919106591816557,3
31304,14447,1.5339774899129326,0.9710488567824723,1.4678705793829947,1.4922802850356294,1.5871190339275445,1.4361213235294117,1.2963671128107075,1.692390912369275,1.5140997830802603,1.9181523500810373,14,18,0.8668232294510498,0.9266327823864033,3
31305,22440,1.6449200996921272,1.0020136958087338,1.58537603004068,1.576888489208633,1.835611089418196,1.5430980637101812,1.28125,1.7856966707768187,1.627027027027027,2.1004086398131934,13,18,0.8873224291347627,0.8776074741158764,3
31306,23817,1.7815094621886454,1.184087758360084,1.7813977929584865,2.24144634525661,1.8042839143217135,1.6072652501713502,1.3375912408759123,1.7817851582771147,1.7992957746478873,2.0006501950585176,15,8,0.9992217989295082,1.1907865341478865,2
31307,21905,1.6688252323632484,1.0991731363279755,1.572241916424965,1.5609302325581396,1.7134342044933517,1.6766940139775144,1.2003556609365738,1.904375163741158,1.644504748982361,2.3091624508150645,11,15,0.8251613363837,0.9254396515104222,3
31308,11259,1.361756168359942,0.7165792511683046,1.365552445249465,1.2751842751842752,1.470231532524807,1.3842676311030742,1.2191283292978208,1.35125284738041,1.2430939226519337,1.427685950413223,9,16,1.0098351413308682,0.8706117211738216,3
31309,4521,1.1897368421052632,0.49535875280766706,1.17036479879654,1.0985576923076923,1.2351063829787234,1.1585760517799353,1.1170212765957446,1.2348816827344435,1.1398601398601398,1.28125,7,18,0.9469877376991749,0.895274513723012,3
31310,14333,1.4142081894425258,0.7508401991171049,1.379146256123163,1.392628205128205,1.4751351351351352,1.364185110663984,1.2025586353944564,1.4979933110367893,1.3312693498452013,1.656367746797287,9,14,0.9200483057321096,0.9278508810680822,3
31311,24144,3.115756871854433,2.4138530157755835,3.1304749584180374,4.513715710723192,4.1928079571537875,2.1954545454545453,1.9456282145481263,3.08169375534645,2.921171171171171,3.9763779527559056,24,8,1.0154998215404039,1.0262053540665739,4
31312,50715,2.6573225045847524,2.0623900182815036,2.4936867754559553,2.1854956268221573,3.210204081632653,2.462908011869436,1.864304235090752,3.057199566943342,2.1723270440251574,3.981465517241379,19,17,0.8154100871671973,0.6890352983257897,4
31313,12185,1.4353869713747203,0.8482121904917634,1.359507713641879,1.348092643051771,1.5129909365558913,1.3202072538860103,1.1340782122905029,1.5963235294117648,1.4351851851851851,1.7882711348057883,14,18,0.8511160629697451,0.9000203328254797,3
31314,37858,2.7615435115617477,2.4321472747674897,2.255206611570248,1.5837150127226463,2.9443809523809525,2.3014340064383965,1.648876404494382,3.7531290461804057,2.3680555555555554,4.6699209669920965,22,14,0.6007269818987127,0.5627847195272716,4
31315,7004,1.2547474023647438,0.5949903135207875,1.2196382428940569,1.1463119709794438,1.318739054290718,1.214809384164223,1.1340782122905029,1.3341121495327102,1.2432432432432432,1.4255874673629243,7,18,0.9135099574376062,0.8849489833735151,3
31316,4216,1.2488151658767772,0.63222013528189,1.2573953131002689,1.1519274376417235,1.4244791666666667,1.1980286738351253,1.2014388489208634,1.219922380336352,1.07909604519774,1.264797507788162,9,17,1.029873260865174,0.8090546947003181,3
31317,5479,1.2170146601510439,0.5482651593582388,1.180353758686039,1.0712589073634204,1.23768115942029,1.2076271186440677,1.0943396226415094,1.3038922155688624,1.227027027027027,1.3530259365994237,11,17,0.9045603495852482,0.8878794989830578,3
31318,8945,1.3160217743121965,0.6899583745982316,1.2706620510601472,1.2270620945319741,1.387360594795539,1.244714926329276,1.1616954474097332,1.4124137931034482,1.3080568720379147,1.5281899109792285,11,18,0.8990021586460825,0.9015928383924091,3
31319,9470,1.3663252055980377,0.7489194046098693,1.3646419951729687,1.2005044136191678,1.4321404456448346,1.4329065908013277,1.1714770797962648,1.3705972434915774,1.2937062937062938,1.427801724137931,8,16,0.994929088439327,0.856957888200417,3
31320,12916,1.5565196432875392,0.9918306957937322,1.579479768786127,1.3416523235800344,1.8130360205831904,1.59496996996997,1.3139356814701377,1.48743961352657,1.316831683168317,1.571875,12,17,1.0611648295518386,0.7577445495377546,3
31321,71053,4.343623914904023,3.954465794162917,3.7915454545454543,1.9437037037037037,4.654568608723337,4.146447860407146,2.656047197640118,5.477043673012318,2.8957219251336896,7.189868028948489,37,17,0.6921349446746057,0.4640682437674722,1
31322,6486,1.374735057227639,0.7420654298279526,1.2843571880937301,1.1848428835489833,1.3390216154721275,1.3239017125837678,1.1645569620253164,1.5576923076923077,1.3418803418803418,1.6324884792626728,8,23,0.8239966167506535,0.873072146229478,3
31323,44752,2.3650776873480606,1.7914648769535542,2.2215022978979886,2.231707317073171,2.8687552921253174,2.1139555958314453,1.4110429447852761,2.7024252080014164,2.4543812104787714,3.4383561643835616,22,17,0.8217361779874418,0.8177503102340192,2
31324,74449,3.196470739770727,2.549239860897938,3.2359827110097252,4.092467532467532,4.212665170780354,2.739192568774562,1.8499531103469835,3.0972410673903212,2.7071490094745907,4.234668847097302,25,8,1.0444580136352737,0.9713224481687239,4
31325,31939,2.0285169895204826,1.4523730378377644,2.1048784494086727,1.8867846850555785,2.543345149854979,2.2520190515634706,1.2556473829201102,1.7680022415242365,1.5363766048502139,2.023464458247067,16,17,1.1898675988081469,0.7595806866358777,2
31326,10850,1.4871162280701755,0.94341547154211,1.4808395917581358,1.7321772639691715,1.4899027673896783,1.328421052631579,1.1954887218045114,1.5026153114598193,1.4125874125874125,1.640655105973025,12,8,0.9848526950157411,1.1431088754706342,0
31327,56569,2.7001909307875893,2.025423160067626,2.62227965179543,3.0765338393421886,3.0892557358701733,2.3590177815410667,2.0483970406905057,2.8836055075248157,2.067441860465116,3.7024793388429753,25,8,0.9090600586301734,0.9550373835771568,4
31328,45398,2.7449059798053086,2.1980042169474205,2.8783064450085987,1.897941680960549,4.189097628580228,2.9451476793248945,1.8116486613433538,2.3685304990757854,2.051490514905149,2.793103448275862,20,17,1.214715930489714,0.5138351591862066,4
