station_id,station_name,latitude,longitude
31508,Gallaudet / 8th St & Florida Ave NE,38.90509,-76.9941
31509,New Jersey Ave & R St NW,38.912659,-77.017669
31510,18th St & Rhode Island Ave NE,38.927095,-76.978924
31511,12th & Irving St NE,38.928644,-76.990955
31512,Neal St & Trinidad Ave NE,38.903732,-76.987211
31513,Rhode Island Ave & V St NE,38.918155,-77.004746
31514,Hamlin & 7th St NE,38.927497,-76.997194
31515,Fort Totten Metro,38.952414274,-77.002455711
31516,Rhode Island Ave Metro,38.920682,-76.995876
31517,Union Market,38.907908,-76.99707
31518,New York Ave & Hecht Ave NE,38.915604,-76.983683
31519,1st & O St NW,38.908643,-77.012365
31520,24th & R St NE / National Arboretum,38.91263,-76.971923
31521,18th & Monroe St NE,38.93293,-76.979517
31522,2nd St & Seaton Pl NE,38.91475110883116,-77.00356006622314
31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,38.915,-77.0078
31524,Montello Ave & Holbrook Terr NE,38.907413125,-76.986882091
31525,Trinidad Rec Center,38.906299,-76.983221
31526,Rhode Island & Montana Ave NE,38.9243,-76.9859
31527,North Capitol & R St NE,38.91256,-77.008775
31528,John McCormack Rd & Michigan Ave NE ,38.938889,-76.997226
31529,Edgewood Rec Center,38.924144,-77.002098
31530,Capitol Ave & Kendall St NE,38.910993,-76.985854
31531,MBT & Bryant St NE,38.92240364115446,-76.9960230588913
31532,4th & Florida Ave NE,38.90731645057457,-77.00069814920425
31533,Tanner Park,38.91131216666667,-77.0021745
31534,7th & Monroe St NE,38.932242581555066,-76.9961330294609
31535,10th St & Rhode Island Ave NE,38.922430158,-76.992823601
31536,5th & Morse St NE,38.90728677325468,-76.99916660785675
31537,Fort Lincoln Dr & 33rd Pl NE,38.921667099,-76.955689073
31538,South Dakota Ave & Bladensburg Rd NE,38.9252,-76.964896
31539,South Dakota Ave & 33rd St NE,38.921986,-76.960696
31540,3rd & N St NE,38.907073,-77.002109
31541,10th & Quincy St NE / Turkey Thicket Rec,38.937849,-76.993509
31542,12th & Varnum St NE,38.943596,-76.990157
31543,24th St & Rhode Island Ave NE,38.93077415308313,-76.97285145521163
31544,Michigan Ave & Allison St NE,38.945068,-76.978783
31545,18th & Upshur St NE,38.941733,-76.980378
31546,South Dakota Ave & Decatur St NE ,38.948307,-76.991829
31600,5th & K St NW,38.90304,-77.019027
31601,19th & East Capitol St SE,38.8896,-76.9769
31602,Park Rd & Holmead Pl NW,38.9308,-77.0315
31603,1st & M St NE,38.905697,-77.005483
31604,3rd & H St NW,38.899408,-77.015289
31605,3rd & D St SE,38.8851,-77.0023
31606,Potomac & Pennsylvania Ave SE,38.8803,-76.9862
31607,13th & E St SE,38.88291548476762,-76.98790669441223
31608,8th & Eye St SE / Barracks Row,38.8792,-76.9953
31609,Maine Ave & 7th St SW,38.87869359939696,-77.02305436134338
31610,Eastern Market / 7th & North Carolina Ave SE,38.886952,-76.996806
31611,13th & H St NE,38.90042673988099,-76.98825001716614
31612,D St & Maryland Ave NE,38.89484064247075,-76.99591577053069
31613,Eastern Market Metro / Pennsylvania Ave & 8th St SE,38.88409514578027,-76.99523448944092
31614,11th & H St NE,38.89997183333333,-76.99150466666667
31615,6th & H St NE,38.899972,-76.998347
31616,3rd & H St NE,38.900412,-77.001949
31617,Bladensburg Rd & Benning Rd NE,38.900413,-76.982872
31618,4th & East Capitol St NE,38.889955,-77.000349
31619,Lincoln Park / 13th & East Capitol St NE ,38.890461,-76.988355
31620,5th & F St NW,38.897222,-77.019347
31621,4th & D St NW / Judiciary Square,38.895344,-77.016106
31622,13th & D St NE,38.894832,-76.987633
31623,Columbus Circle / Union Station,38.89696,-77.00493
31624,North Capitol St & F St NW,38.897446,-77.009888
31625,3rd & G St SE,38.881185,-77.001828
31626,15th St & Massachusetts Ave SE,38.88732,-76.983569
31627,M St & Delaware Ave NE,38.905690963097,-77.00320065021515
31628,1st & I St SE,38.878854378063295,-77.00572729110718
